Asset,Start,End,Duration,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN
DVA,2012-10-31,2021-01-04,8Y 2M 1W,2.175320743227798,1.4111301154723985,1.5939882925946813,3,1.0,0.5171159698616824,0.41817247348899633,0.47037670515746616,0.47037670515746616,0.0,0.04969761831872049,0.10238578393880049,0.7889252329412542,0.0,0.0,141.11301154723984,3.0,0.09175240050179832,16.393468733343365
GM,2013-11-13,2021-01-19,7Y 2M 1W 2D,1.1930843124326311,0.9695855586165101,0.6124798143022359,2,1.0,0.5921486596935475,0.37743689892296267,0.48479277930825504,0.48479277930825504,0.0,0.15182414204138425,0.07833521756678219,2.410133537143494,0.0,0.0,96.958555861651,2.0,0.02005499563483499,4.515754307713459
LEE,2012-01-25,2014-01-07,1Y 11M 2W 4D,4.17657250976006,2.557189453766721,-0.11514795892300778,2,1.0,1.4027777354658375,1.1544117183008833,1.2785947268833604,1.2785947268833604,0.0,0.17562129495363357,0.788003592802635,2.7879016282466234,0.0,0.0,255.71894537667208,2.0,0.27189036554326385,10.29605210469814
PSX,2013-02-08,2023-09-12,10Y 7M 1W 1D,1.3589062133890701,1.0060960341719578,4.36368538812825,3,1.0,0.4150825687593531,0.18890730647589926,0.33536534472398594,0.33536534472398594,0.0,0.12700222253401647,0.05750415193222258,2.016097780664946,0.0,0.0,100.60960341719579,3.0,0.013642270824360122,4.5736980390576525
NOV,2012-08-07,2022-11-07,10Y 3M 4D,1.3461334072192281,0.913243022434981,-0.6409985037155661,31,0.9354838709677419,0.15031553870834313,-0.16049895131510306,0.02945945233661229,0.04214822424812019,-0.1545277403802522,0.05540823780249481,0.05907712013140953,0.8795785068583756,-0.5063257237242358,-0.0772839526085682,3.9549484778193538,14.5,0.033058015748094395,2.9602690028321783
GE,2013-10-18,2023-12-22,10Y 2M 1W,1.0308148446301018,0.7333066815610065,0.34757008613750084,25,0.96,0.06537030056530257,-0.12294081366040338,0.029332267262440263,0.035676978967558746,-0.12294081366040338,0.034059448520190064,0.049201747783945704,0.5406769834585787,-0.39468593130552887,-0.03643774226347662,6.964713098341799,24.0,0.03551426890990774,4.306039665476736
DE,2012-09-24,2022-04-18,9Y 6M 4W,3.0799079889508567,1.4237463468560945,5.03999243750236,65,1.0,0.046853401191205624,0.0087606374188689,0.021903789951632224,0.021903789951632224,0.0,0.008687895945152796,0.10676377610506815,0.1379160725236845,0.0,0.0,142.37463468560944,65.0,0.5565977532595805,20.326440529387003
ADM,2013-10-29,2022-04-14,8Y 5M 2W 5D,1.0054692217382475,0.7833999565622579,2.617574632431858,3,1.0,0.27207318747915876,0.2432336501402288,0.26113331885408597,0.26113331885408597,0.0,0.015628782468182424,0.05841191614640673,0.24809923023322164,0.0,0.0,78.3399956562258,3.0,0.11451835670630083,28.939949527428624
VRSN,2012-10-04,2021-12-23,9Y 2M 3W 1D,11.37872468677535,2.5569780859117417,3.993078268155293,98,1.0,0.09344382987429443,0.01324937012054951,0.026091613121548386,0.026091613121548386,0.0,0.013517427437063138,0.20720303088317293,0.2145825081829816,0.0,0.0,255.69780859117415,98.0,0.8258037077843551,19.108206290539325
SU,2020-03-12,2022-05-27,2Y 2M 2W 2D,0.2889688734007898,0.48977436898246146,0.5448494461359952,2,0.5,0.7555487443424826,-0.2657743753600212,0.24488718449123073,0.7555487443424826,-0.2657743753600212,0.7221845037242405,0.08259958558268798,11.46432358535364,0.0,0.0,2.8428201301160323,1.0,0.004588110688875453,0.47954889058530803
